bent;bent;normal;bent;bent;57
uit;uit;normal;uit;uit;58
erbuiten;erbuiten;form;uit;uit;58
hierbuiten;hierbuiten;form;uit;uit;58
daarbuiten;daarbuiten;form;uit;uit;58
waarbuiten;waarbuiten;form;uit;uit;58
ook;ook;normal;ook;ook;59
over;over;normal;over;over;60
erover;erover;form;over;over;60
hierover;hierover;form;over;over;60
daarover;daarover;form;over;over;60
waarover;waarover;form;over;over;60
doen;doen;normal;doen;doen;61
gij;gij;form;doen;doen;61
deedt;deedt;form;doen;doen;61
deden;deden;form;doen;doen;61
