had;had;normal;had;had;78
meer;meer;normal;meer;meer;80
meren;meren;form;meer;meer;80
meertje;meertje;form;meer;meer;80
laat;laat;normal;laat;laat;81
latere;latere;form;laat;laat;81
laats;laats;form;laat;laat;81
laters;laters;form;laat;laat;81
laatje;laatje;form;laat;laat;81
doe;doe;normal;doe;doe;82
wie;wie;normal;wie;wie;83
moeten;moeten;normal;moeten;moeten;84
gemoeten;gemoeten;form;moeten;moeten;84
gij;gij;form;moeten;moeten;84
moesten;moesten;form;moeten;moeten;84
moete;moete;form;moeten;moeten;84
