waartoe;waartoe;form;tot;tot;115
zeg;zeg;normal;zeg;zeg;116
uw;uw;normal;uw;uw;117
mensen;mensen;normal;mensen;mensen;118
toen;toen;normal;toen;toen;119
zeggen;zeggen;normal;zeggen;zeggen;120
zegde;zegde;form;zeggen;zeggen;120
gij;gij;form;zeggen;zeggen;120
zeidt;zeidt;form;zeggen;zeggen;120
zeiden;zeiden;form;zeggen;zeggen;120
zegden;zegden;form;zeggen;zeggen;120
zegge;zegge;form;zeggen;zeggen;120
zeide;zeide;form;zeggen;zeggen;120
zeggend;zeggend;form;zeggen;zeggen;120
worden;worden;normal;worden;worden;121
geworden;geworden;form;worden;worden;121
