weerlozers;weerlozers;form;weerloos;weerloos;14999
vriendinnetjes;vriendinnetjes;normal;vriendinnetjes;vriendinnetjes;15000
viller;viller;normal;viller;viller;15001
verzekerde;verzekerde;normal;verzekerde;verzekerde;15002
verliefdheid;verliefdheid;normal;verliefdheid;verliefdheid;15003
verdienste;verdienste;normal;verdienste;verdienste;15004
uitwisselen;uitwisselen;normal;uitwisselen;uitwisselen;15005
uitwissel;uitwissel;form;uitwisselen;uitwisselen;15005
uitwissele;uitwissele;form;uitwisselen;uitwisselen;15005
uitwisselend;uitwisselend;form;uitwisselen;uitwisselen;15005
uitgezonderd;uitgezonderd;normal;uitgezonderd;uitgezonderd;15006
uitgeeft;uitgeeft;normal;uitgeeft;uitgeeft;15008
toevertrouwen;toevertrouwen;normal;toevertrouwen;toevertrouwen;15010
toevertrouwe;toevertrouwe;form;toevertrouwen;toevertrouwen;15010
toevertrouwend;toevertrouwend;form;toevertrouwen;toevertrouwen;15010
syl;syl;normal;syl;syl;15011
swingen;swingen;normal;swingen;swingen;15012
swingde;swingde;form;swingen;swingen;15012
geswingd;geswingd;form;swingen;swingen;15012
swingt;swingt;form;swingen;swingen;15012
swingden;swingden;form;swingen;swingen;15012
swinge;swinge;form;swingen;swingen;15012
swingend;swingend;form;swingen;swingen;15012
spioneren;spioneren;normal;spioneren;spioneren;15013
spionere;spionere;form;spioneren;spioneren;15013
sneu;sneu;normal;sneu;sneu;15014
sneue;sneue;form;sneu;sneu;15014
sneuer;sneuer;form;sneu;sneu;15014
sneuere;sneuere;form;sneu;sneu;15014
sneuste;sneuste;form;sneu;sneu;15014
sneus;sneus;form;sneu;sneu;15014
sneuers;sneuers;form;sneu;sneu;15014
sneuen;sneuen;form;sneu;sneu;15014
sneuke;sneuke;form;sneu;sneu;15014
slacht;slacht;normal;slacht;slacht;15015
schroef;schroef;normal;schroef;schroef;15016
schrobben;schrobben;normal;schrobben;schrobben;15017
schrobbe;schrobbe;form;schrobben;schrobben;15017
schrobbend;schrobbend;form;schrobben;schrobben;15017
saksen;saksen;normal;saksen;saksen;15018
reusachtig;reusachtig;normal;reusachtig;reusachtig;15020
reusachtiger;reusachtiger;form;reusachtig;reusachtig;15020
reusachtigere;reusachtigere;form;reusachtig;reusachtig;15020
reusachtigste;reusachtigste;form;reusachtig;reusachtig;15020
reusachtigs;reusachtigs;form;reusachtig;reusachtig;15020
reusachtigers;reusachtigers;form;reusachtig;reusachtig;15020
razendsnel;razendsnel;normal;razendsnel;razendsnel;15023
razendsneller;razendsneller;form;razendsnel;razendsnel;15023
razendsnellere;razendsnellere;form;razendsnel;razendsnel;15023
razendsnelste;razendsnelste;form;razendsnel;razendsnel;15023
razendsnels;razendsnels;form;razendsnel;razendsnel;15023
razendsnellers;razendsnellers;form;razendsnel;razendsnel;15023
psychopaten;psychopaten;normal;psychopaten;psychopaten;15024
procureur;procureur;normal;procureur;procureur;15025
pacey;pacey;normal;pacey;pacey;15028
opgeladen;opgeladen;normal;opgeladen;opgeladen;15029
ontkende;ontkende;normal;ontkende;ontkende;15030
onderling;onderling;normal;onderling;onderling;15032
onderlings;onderlings;form;onderling;onderling;15032
offensief;offensief;normal;offensief;offensief;15033
offensiefje;offensiefje;form;offensief;offensief;15033
offensiever;offensiever;form;offensief;offensief;15033
offensievere;offensievere;form;offensief;offensief;15033
offensiefste;offensiefste;form;offensief;offensief;15033
offensiefs;offensiefs;form;offensief;offensief;15033
offensievers;offensievers;form;offensief;offensief;15033
netten;netten;normal;netten;netten;15034
meningsverschil;meningsverschil;normal;meningsverschil;meningsverschil;15040
meningsverschillen;meningsverschillen;form;meningsverschil;meningsverschil;15040
meningsverschilletje;meningsverschilletje;form;meningsverschil;meningsverschil;15040
marta;marta;normal;marta;marta;15041
marmer;marmer;normal;marmer;marmer;15042
leah;leah;normal;leah;leah;15044
landbouw;landbouw;normal;landbouw;landbouw;15045
kosmische;kosmische;normal;kosmische;kosmische;15046
katalysator;katalysator;normal;katalysator;katalysator;15047
inzit;inzit;normal;inzit;inzit;15050
inschatten;inschatten;normal;inschatten;inschatten;15051
inschattend;inschattend;form;inschatten;inschatten;15051
impresario;impresario;normal;impresario;impresario;15054
idool;idool;normal;idool;idool;15055
idooltje;idooltje;form;idool;idool;15055
heldin;heldin;normal;heldin;heldin;15057
heldinnetje;heldinnetje;form;heldin;heldin;15057
handige;handige;normal;handige;handige;15059
guv;guv;normal;guv;guv;15060
