warend;warend;form;waren;waren;188
maak;maak;normal;maak;maak;189
praten;praten;normal;praten;praten;190
praatte;praatte;form;praten;praten;190
gepraat;gepraat;form;praten;praten;190
gij;gij;form;praten;praten;190
praatten;praatten;form;praten;praten;190
prate;prate;form;praten;praten;190
pratend;pratend;form;praten;praten;190
kon;kon;normal;kon;kon;193
mooi;mooi;normal;mooi;mooi;194
mooier;mooier;form;mooi;mooi;194
mooiere;mooiere;form;mooi;mooi;194
mooiste;mooiste;form;mooi;mooi;194
moois;moois;form;mooi;mooi;194
mooiers;mooiers;form;mooi;mooi;194
