hele;hele;normal;hele;hele;195
genoeg;genoeg;normal;genoeg;genoeg;196
vinden;vinden;normal;vinden;vinden;197
gij;gij;form;vinden;vinden;197
vondt;vondt;form;vinden;vinden;197
vonden;vonden;form;vinden;vinden;197
vinde;vinde;form;vinden;vinden;197
vonde;vonde;form;vinden;vinden;197
vindend;vindend;form;vinden;vinden;197
lang;lang;normal;lang;lang;198
lange;lange;form;lang;lang;198
langer;langer;form;lang;lang;198
langere;langere;form;lang;lang;198
langste;langste;form;lang;lang;198
langs;langs;form;lang;lang;198
langers;langers;form;lang;lang;198
