godje;godje;form;god;god;210
klaar;klaar;normal;klaar;klaar;211
klare;klare;form;klaar;klaar;211
klaarder;klaarder;form;klaar;klaar;211
klaardere;klaardere;form;klaar;klaar;211
klaarste;klaarste;form;klaar;klaar;211
klaars;klaars;form;klaar;klaar;211
klaarders;klaarders;form;klaar;klaar;211
bedoel;bedoel;normal;bedoel;bedoel;212
hallo;hallo;normal;hallo;hallo;213
sorry;sorry;normal;sorry;sorry;214
helemaal;helemaal;normal;helemaal;helemaal;215
maakt;maakt;normal;maakt;maakt;216
gek;gek;normal;gek;gek;217
gekke;gekke;form;gek;gek;217
gekker;gekker;form;gek;gek;217
