pogue;pogue;normal;pogue;pogue;37861
plundering;plundering;normal;plundering;plundering;37862
pitts;pitts;normal;pitts;pitts;37865
pirouette;pirouette;normal;pirouette;pirouette;37866
pipi;pipi;normal;pipi;pipi;37867
peseta;peseta;normal;peseta;peseta;37873
pensioenfonds;pensioenfonds;normal;pensioenfonds;pensioenfonds;37875
pensioenfondsje;pensioenfondsje;form;pensioenfonds;pensioenfonds;37875
penseel;penseel;normal;penseel;penseel;37876
penseeltje;penseeltje;form;penseel;penseel;37876
pendel;pendel;normal;pendel;pendel;37877
patstelling;patstelling;normal;patstelling;patstelling;37881
patstellingen;patstellingen;form;patstelling;patstelling;37881
patrijspoort;patrijspoort;normal;patrijspoort;patrijspoort;37882
patrijspoortje;patrijspoortje;form;patrijspoort;patrijspoort;37882
parasol;parasol;normal;parasol;parasol;37885
parasolletje;parasolletje;form;parasol;parasol;37885
parachutist;parachutist;normal;parachutist;parachutist;37887
parachutistje;parachutistje;form;parachutist;parachutist;37887
paljas;paljas;normal;paljas;paljas;37888
paljasje;paljasje;form;paljas;paljas;37888
paljasje;paljasje;form;paljas;paljas;37888
overwicht;overwicht;normal;overwicht;overwicht;37891
overwichtje;overwichtje;form;overwicht;overwicht;37891
overrompelen;overrompelen;normal;overrompelen;overrompelen;37893
overrompelde;overrompelde;form;overrompelen;overrompelen;37893
overrompeld;overrompeld;form;overrompelen;overrompelen;37893
overrompel;overrompel;form;overrompelen;overrompelen;37893
overrompelt;overrompelt;form;overrompelen;overrompelen;37893
overrompelden;overrompelden;form;overrompelen;overrompelen;37893
overrompele;overrompele;form;overrompelen;overrompelen;37893
overrompelend;overrompelend;form;overrompelen;overrompelen;37893
overmoed;overmoed;normal;overmoed;overmoed;37894
overleveren;overleveren;normal;overleveren;overleveren;37895
overleverden;overleverden;form;overleveren;overleveren;37895
overlevere;overlevere;form;overleveren;overleveren;37895
overleverend;overleverend;form;overleveren;overleveren;37895
overbelasten;overbelasten;normal;overbelasten;overbelasten;37896
overbelastten;overbelastten;form;overbelasten;overbelasten;37896
overbelastend;overbelastend;form;overbelasten;overbelasten;37896
opspringen;opspringen;normal;opspringen;opspringen;37905
opspring;opspring;form;opspringen;opspringen;37905
opsprongt;opsprongt;form;opspringen;opspringen;37905
opspringe;opspringe;form;opspringen;opspringen;37905
opspronge;opspronge;form;opspringen;opspringen;37905
opspringend;opspringend;form;opspringen;opspringen;37905
opmaakt;opmaakt;normal;opmaakt;opmaakt;37907
opluchten;opluchten;normal;opluchten;opluchten;37908
opgelucht;opgelucht;form;opluchten;opluchten;37908
oplucht;oplucht;form;opluchten;opluchten;37908
opluchtte;opluchtte;form;opluchten;opluchten;37908
opluchtten;opluchtten;form;opluchten;opluchten;37908
opluchte;opluchte;form;opluchten;opluchten;37908
opluchtend;opluchtend;form;opluchten;opluchten;37908
ophielden;ophielden;normal;ophielden;ophielden;37910
operette;operette;normal;operette;operette;37913
oortje;oortje;normal;oortje;oortje;37917
oorring;oorring;normal;oorring;oorring;37918
oorlogsmisdadiger;oorlogsmisdadiger;normal;oorlogsmisdadiger;oorlogsmisdadiger;37919
oorlogsmisdadigertje;oorlogsmisdadigertje;form;oorlogsmisdadiger;oorlogsmisdadiger;37919
ontwijkend;ontwijkend;normal;ontwijkend;ontwijkend;37921
ontvallen;ontvallen;normal;ontvallen;ontvallen;37922
