enige;enige;normal;enige;enige;289
vertel;vertel;normal;vertel;vertel;290
denkt;denkt;normal;denkt;denkt;291
krijg;krijg;normal;krijg;krijg;292
krijgje;krijgje;form;krijg;krijg;292
samen;samen;normal;samen;samen;293
vandaag;vandaag;normal;vandaag;vandaag;294
hoop;hoop;normal;hoop;hoop;295
hopen;hopen;form;hoop;hoop;295
hoopje;hoopje;form;hoop;hoop;295
halen;halen;normal;halen;halen;296
haalde;haalde;form;halen;halen;296
gehaald;gehaald;form;halen;halen;296
haalt;haalt;form;halen;halen;296
gij;gij;form;halen;halen;296
haalden;haalden;form;halen;halen;296
