volgens;volgens;normal;volgens;volgens;341
werken;werken;normal;werken;werken;342
werkte;werkte;form;werken;werken;342
gewerkt;gewerkt;form;werken;werken;342
gij;gij;form;werken;werken;342
werkten;werkten;form;werken;werken;342
werke;werke;form;werken;werken;342
werkend;werkend;form;werken;werken;342
best;best;normal;best;best;343
besten;besten;form;best;best;343
bestje;bestje;form;best;best;343
beste;beste;normal;beste;beste;344
daarom;daarom;normal;daarom;daarom;345
erom;erom;form;daarom;daarom;345
hierom;hierom;form;daarom;daarom;345
familie;familie;normal;familie;familie;346
