schiet;schiet;normal;schiet;schiet;360
vijf;vijf;normal;vijf;vijf;361
spreken;spreken;normal;spreken;spreken;362
sprak;sprak;form;spreken;spreken;362
gesproken;gesproken;form;spreken;spreken;362
spreek;spreek;form;spreken;spreken;362
spreekt;spreekt;form;spreken;spreken;362
gij;gij;form;spreken;spreken;362
spraakt;spraakt;form;spreken;spreken;362
spraken;spraken;form;spreken;spreken;362
spreke;spreke;form;spreken;spreken;362
sprake;sprake;form;spreken;spreken;362
sprekend;sprekend;form;spreken;spreken;362
gemaakt;gemaakt;normal;gemaakt;gemaakt;364
gemaakte;gemaakte;form;gemaakt;gemaakt;364
gemaakter;gemaakter;form;gemaakt;gemaakt;364
