kansje;kansje;form;kans;kans;383
schat;schat;normal;schat;schat;385
schatten;schatten;form;schat;schat;385
schatje;schatje;form;schat;schat;385
ogen;ogen;normal;ogen;ogen;386
oogde;oogde;form;ogen;ogen;386
geoogd;geoogd;form;ogen;ogen;386
oog;oog;form;ogen;ogen;386
oogt;oogt;form;ogen;ogen;386
gij;gij;form;ogen;ogen;386
oogden;oogden;form;ogen;ogen;386
oge;oge;form;ogen;ogen;386
ogend;ogend;form;ogen;ogen;386
welke;welke;normal;welke;welke;388
verteld;verteld;normal;verteld;verteld;389
manier;manier;normal;manier;manier;390
