dodend;dodend;form;doden;doden;443
ervan;ervan;normal;ervan;ervan;444
hiervan;hiervan;form;ervan;ervan;444
daarvan;daarvan;form;ervan;ervan;444
waarvan;waarvan;form;ervan;ervan;444
beginnen;beginnen;normal;beginnen;beginnen;445
begon;begon;form;beginnen;beginnen;445
begonnen;begonnen;form;beginnen;beginnen;445
begint;begint;form;beginnen;beginnen;445
gij;gij;form;beginnen;beginnen;445
begont;begont;form;beginnen;beginnen;445
beginne;beginne;form;beginnen;beginnen;445
begonne;begonne;form;beginnen;beginnen;445
beginnend;beginnend;form;beginnen;beginnen;445
gebruiken;gebruiken;normal;gebruiken;gebruiken;446
gebruikte;gebruikte;form;gebruiken;gebruiken;446
