hoort;hoort;normal;hoort;hoort;479
bezig;bezig;normal;bezig;bezig;480
bezige;bezige;form;bezig;bezig;480
beziger;beziger;form;bezig;bezig;480
bezigere;bezigere;form;bezig;bezig;480
bezigste;bezigste;form;bezig;bezig;480
bezigs;bezigs;form;bezig;bezig;480
bezigers;bezigers;form;bezig;bezig;480
hart;hart;normal;hart;hart;481
harten;harten;form;hart;hart;481
hartje;hartje;form;hart;hart;481
harten;harten;form;hart;hart;481
hartje;hartje;form;hart;hart;481
klein;klein;normal;klein;klein;482
kleiner;kleiner;form;klein;klein;482
kleinere;kleinere;form;klein;klein;482
