gaf;gaf;normal;gaf;gaf;491
eerder;eerder;normal;eerder;eerder;492
eerdere;eerdere;form;eerder;eerder;492
eerders;eerders;form;eerder;eerder;492
eerdertje;eerdertje;form;eerder;eerder;492
eerders;eerders;form;eerder;eerder;492
eerdertje;eerdertje;form;eerder;eerder;492
ander;ander;normal;ander;ander;493
vent;vent;normal;vent;vent;494
venten;venten;form;vent;vent;494
ventje;ventje;form;vent;vent;494
waarheid;waarheid;normal;waarheid;waarheid;495
waarheden;waarheden;form;waarheid;waarheid;495
waarheidje;waarheidje;form;waarheid;waarheid;495
neer;neer;normal;neer;neer;496
beneden;beneden;normal;beneden;beneden;497
